Output_Code,Year,Day,Time,Li190,Li200,Air_Temp,10cm_Soil_Temp,20cm_Soil_Temp,50cm_Soil_Temp,Ground_Temp,Rel_Humidity,10cm_Soil_Moisture,20cm_Soil_Moisture,50cm_Soil_Moisture,Wind_Speed,Wind_Dir,Air_Temp_Min,10cm_Soil_Temp_Min,20cm_Soil_Temp_Min,50cm_Soil_Temp_Min,Ground_Temp_Min,Rel_Humidity_Min,10cm_Soil_Moisture_Min,20cm_Soil_Moisture_Min,50cm_Soil_Moisture_Min,Wind_Speed_Min,Li190_Max,Li200_Max,Air_temp_Max,10cm_Soil_Temp_Max,20cm_Soil_Temp_Max,50cm_Soil_Temp_Max,Ground_Temp_Max,Rel_Humidity_Max,10cm_Soil_Moisture_Max,20cm_Soil_Moisture_Max,50cm_Soil_Moisture_Max,Wind_Speed_Max,Windrun,Gust_Speed,Gust_Dir,Wind_Speed_2,Wind_Dir_2,Wind_Dir_STD,BatVolt,Air_Temp_10Day,Rel_Humidity_10Day,Wind_Speed_10Day,Wind_Dir_10Day,Rain,5m_Air_Temp,12m_Air_Temp,Soil_Temp,Dew_Point,Wet_Bulb_Temp,Wet_Bulb_Temp_Min,Wet_Bulb_Temp_Max
Output Code,Year,Day,Time,Li190 PAR (umol/m2/s),Li200 Radiation (W/m2),Air temp (C),Soil Temp 10cm (C),Soil Temp 20cm (C),Soil Temp 50cm (C),,Rel Humidity (%),Soil moisture 10cm by TDR (% = m3/m3),Soil moisture 20cm by TDR (% = m3/m3),Soil moisture 50cm by TDR (% = m3/m3),Wind speed (km/hr),Wind dir (deg true),Min air temp (C),Min soil temp 10cm (C),Min soil temp 20cm (C),Min soil temp 50cm (C),,Min rel humidity (%),Min soil moisture 10cm by TDR (% = m3/m3),Min soil moisture 20cm by TDR (% = m3/m3),Min soil moisture 50cm by TDR (% = m3/m3),Min wind speed (km/hr),Max Li190 PAR (umol/m2/s),Max Li200 Radiation (W/s2),Max air temp (C),Max soil temp 10cm (C),Max soil temp 20cm (C),Max soil temp 50cm (C),,Max relative humidity,Max soil moisture 10cm by TDR (% = m3/m3),Max soil moisture 20cm by TDR (% = m3/m3),Max soil moisture 50cm by TDR (% = m3/m3),Max wind speed (km/hr),Windrun (km??),Gust speed (km/hr),Gust dir (deg true),Mean wind speed (km/hr),Mean wind dir (deg true),Standard deviation wind dir (deg true),,,,,,,,,,,Twet(C),,
Output Code,Year,Day,Time,Li190 PAR (micro einsteins),Li200 Radiation (W/m2),Air temp (C),Soil Temp 10cm (C),Soil Temp 20cm (C),Soil Temp 50cm (C),Ground temp (C),Rel Humidity (%),Soil moisture 10cm by TDR (% = m3/m3),Soil moisture 20cm by TDR (% = m3/m3),Soil moisture 50cm by TDR (% = m3/m3),Wind speed (km/hr),Wind dir (deg true),Min air temp (C),Min soil temp 10cm (C),Min soil temp 20cm (C),Min soil temp 50cm (C),Min ground temp (C),Min rel humidity (%),Min soil moisture 10cm by TDR (% = m3/m3),Min soil moisture 20cm by TDR (% = m3/m3),Min soil moisture 50cm by TDR (% = m3/m3),Min wind speed (km/hr),Max Li190 PAR (mV),Max Li200 radiation (W/m2),Max air temp (C),Max soil temp 10cm (C),Max soil temp 20cm (C),Max soil temp 50cm (C),Max ground temp (C),Max rel humidity (%),Max soil moisture 10cm by TDR (% = m3/m3),Max soil moisture 20cm by TDR (% = m3/m3),Max soil moisture 50cm by TDR (% = m3/m3),Max wind speed (km/hr),Windrun (km??),Gust speed (km/hr),Gust dir (deg true),Mean wind speed (km/hr),Mean wind dir (deg true),Standard deviation wind dir (deg true),,,,,,,,,,,,,
Output Code,Year,Day,Time,Li190 PAR (micro einsteins),Li200 Radiation (W/m2),Air temp (C),Soil Temp 10cm (C),Soil Temp 20cm (C),Soil Temp 50cm (C),Ground temp (C),Rel Humidity (%),Soil moisture 10cm by TDR (% = m3/m3),Soil moisture 20cm by TDR (% = m3/m3),Soil moisture 50cm by TDR (% = m3/m3),Wind speed (km/hr),Wind dir (deg true),Min air temp (C),Min soil temp 10cm (C),Min soil temp 20cm (C),Min soil temp 50cm (C),Min ground temp (C),Min rel humidity (%),Min soil moisture 10cm by TDR (% = m3/m3),Min soil moisture 20cm by TDR (% = m3/m3),Min soil moisture 50cm by TDR (% = m3/m3),Min wind speed (km/hr),Max Li190 PAR (micro einsteins),Max Li200  radiation (W/m2),Max air temp (C),Max soil temp 10cm (C),Max soil temp 20cm (C),Max soil temp 50cm (C),Max ground temp (C),Max rel humidity (%),Max soil moisture 10cm by TDR (% = m3/m3),Max soil moisture 20cm by TDR (% = m3/m3),Max soil moisture 50cm by TDR (% = m3/m3),Max wind speed (km/hr),Windrun (km??),Gust speed (km/hr),Gust dir (deg true),Mean wind speed (km/hr),Mean wind dir (deg true),Standard deviation wind dir (deg true),,,,,,,,,,,,,
Output Code,Year,Day,Time,Li190 PAR (umol/sec/m2),Li200 Radiation (W/m2),Air temp (C),Soil Temp 10cm (C),Soil Temp 20cm (C),Soil Temp 50cm (C),Ground temp (C),Rel Humidity (%),Soil moisture 10cm by TDR (% = m3/m3),Soil moisture 20cm by TDR (% = m3/m3),Soil moisture 50cm by TDR (% = m3/m3),Wind speed (km/hr),Wind dir (deg true),Min air temp (C),Min soil temp 10cm (C),Min soil temp 20cm (C),Min soil temp 50cm (C),Min ground temp (C),Min rel humidity (%),Min soil moisture 10cm by TDR (% = m3/m3),Min soil moisture 20cm by TDR (% = m3/m3),Min soil moisture 50cm by TDR (% = m3/m3),Min wind speed (km/hr),Max Li190 PAR ( (umol/sec/m2)),Max Li200  radiation (W/m2),Max air temp (C),Max soil temp 10cm (C),Max soil temp 20cm (C),Max soil temp 50cm (C),Max ground temp (C),Max rel humidity (%),Max soil moisture 10cm by TDR (% = m3/m3),Max soil moisture 20cm by TDR (% = m3/m3),Max soil moisture 50cm by TDR (% = m3/m3),Max wind speed (km/hr),Windrun (km??),Gust speed (km/hr),Gust dir (deg true),Mean wind speed (km/hr),Mean wind dir (deg true),Standard deviation wind dir (deg true),,,,,,,,,,,,,
Output Code,Year,Day,Time,Li190 PAR (umol/sec/m2),Li200 Radiation (W/m2),Air temp (C),Soil Temp 10cm (C),Soil Temp 20cm (C),Soil Temp 50cm (C),Ground temp (C),Rel Humidity (%),Soil moisture 10cm by TDR (% = m3/m3),Soil moisture 20cm by TDR (% = m3/m3),Soil moisture 50cm by TDR (% = m3/m3),Wind speed (km/hr),Wind dir (deg true),Min air temp (C),Min soil temp 10cm (C),Min soil temp 20cm (C),Min soil temp 50cm (C),Min ground temp (C),Min rel humidity (%),Min soil moisture 10cm by TDR (% = m3/m3),Min soil moisture 20cm by TDR (% = m3/m3),Min soil moisture 50cm by TDR (% = m3/m3),Min wind speed (km/hr),Max Li190 PAR ( (umol/sec/m2)),Max Li200  radiation (W/m2),Max air temp (C),Max soil temp 10cm (C),Max soil temp 20cm (C),Max soil temp 50cm (C),Max ground temp (C),Max rel humidity (%),Max soil moisture 10cm by TDR (% = m3/m3),Max soil moisture 20cm by TDR (% = m3/m3),Max soil moisture 50cm by TDR (% = m3/m3),Max wind speed (km/hr),Windrun (km??),Gust speed (km/hr),Gust dir (deg true),Mean wind speed (km/hr),Mean wind dir (deg true),Standard deviation wind dir (deg true),,,,,,,,,,,,,
Output Code,Year,Day,Time,Li190 PAR (umol/sec/m2),Li200 Radiation (W/m2),Air temp (C),Soil Temp 10cm (C),Soil Temp 20cm (C),Soil Temp 50cm (C),Ground temp (C),Rel Humidity (%),Soil moisture 10cm by TDR (% = m3/m3),Soil moisture 20cm by TDR (% = m3/m3),Soil moisture 50cm by TDR (% = m3/m3),Wind speed (km/hr),Wind dir (deg true),Min air temp (C),Min soil temp 10cm (C),Min soil temp 20cm (C),Min soil temp 50cm (C),Min ground temp (C),Min rel humidity (%),Min soil moisture 10cm by TDR (% = m3/m3),Min soil moisture 20cm by TDR (% = m3/m3),Min soil moisture 50cm by TDR (% = m3/m3),Min wind speed (km/hr),Max Li190 PAR ( (umol/sec/m2)),Max Li200  radiation (W/m2),Max air temp (C),Max soil temp 10cm (C),Max soil temp 20cm (C),Max soil temp 50cm (C),Max ground temp (C),Max rel humidity (%),Max soil moisture 10cm by TDR (% = m3/m3),Max soil moisture 20cm by TDR (% = m3/m3),Max soil moisture 50cm by TDR (% = m3/m3),Max wind speed (km/hr),Windrun (km??),Gust speed (km/hr),Gust dir (deg true),Mean wind speed (km/hr),Mean wind dir (deg true),Standard deviation wind dir (deg true),,,,,,,,,,,,,
Output Code,Year,Day,Time,Li190 PAR (umol/sec/m2),Li200 Radiation (W/m2),Air temp (C),Soil Temp 10cm (C),Soil Temp 20cm (C),Soil Temp 50cm (C),Ground temp (C),Rel Humidity (%),Soil moisture 10cm by TDR (% = m3/m3),Soil moisture 20cm by TDR (% = m3/m3),Soil moisture 50cm by TDR (% = m3/m3),Wind speed (km/hr),Wind dir (deg true),Min air temp (C),Min soil temp 10cm (C),Min soil temp 20cm (C),Min soil temp 50cm (C),Min ground temp (C),Min rel humidity (%),Min soil moisture 10cm by TDR (% = m3/m3),Min soil moisture 20cm by TDR (% = m3/m3),Min soil moisture 50cm by TDR (% = m3/m3),Min wind speed (km/hr),Max Li190 PAR ( (umol/sec/m2)),Max Li200  radiation (W/m2),Max air temp (C),Max soil temp 10cm (C),Max soil temp 20cm (C),Max soil temp 50cm (C),Max ground temp (C),Max rel humidity (%),Max soil moisture 10cm by TDR (% = m3/m3),Max soil moisture 20cm by TDR (% = m3/m3),Max soil moisture 50cm by TDR (% = m3/m3),Max wind speed (km/hr),Windrun (km),Gust speed (km/hr),Gust dir (deg true),Mean wind speed (km/hr),Mean wind dir (deg true),Standard deviation wind dir (deg true),,,,,,,,,,,,,
Output Code,Year,Day,Time,Li190 PAR (umol/sec/m2),Li200 Radiation (W/m2),Air temp (C),Soil Temp 10cm (C),Soil Temp 20cm (C),Soil Temp 50cm (C),Ground temp (C),Rel Humidity (%),Soil moisture 10cm by TDR (% = m3/m3),Soil moisture 20cm by TDR (% = m3/m3),Soil moisture 50cm by TDR (% = m3/m3),Wind speed (km/hr),Wind dir (deg true),Min air temp (C),Min soil temp 10cm (C),Min soil temp 20cm (C),Min soil temp 50cm (C),Min ground temp (C),Min rel humidity (%),Min soil moisture 10cm by TDR (% = m3/m3),Min soil moisture 20cm by TDR (% = m3/m3),Min soil moisture 50cm by TDR (% = m3/m3),Min wind speed (km/hr),Max Li190 PAR ( (umol/sec/m2)),Max Li200  radiation (W/m2),Max air temp (C),Max soil temp 10cm (C),Max soil temp 20cm (C),Max soil temp 50cm (C),Max ground temp (C),Max rel humidity (%),Max soil moisture 10cm by TDR (% = m3/m3),Max soil moisture 20cm by TDR (% = m3/m3),Max soil moisture 50cm by TDR (% = m3/m3),Max wind speed (km/hr),Windrun (km),Gust speed (km/hr),Gust dir (deg true),Mean wind speed (km/hr),Mean wind dir (deg true),Standard deviation wind dir (deg true),,,,,,,,,,,,,
Output Code,Year,Day,Time,Li190 PAR (umol/sec/m2),Li200 Radiation (W/m2),Air temp (C),Soil Temp 10cm (C),Soil Temp 20cm (C),Soil Temp 50cm (C),Ground temp (C),Rel Humidity (%),Soil moisture 10cm by TDR (% = m3/m3),Soil moisture 20cm by TDR (% = m3/m3),Soil moisture 50cm by TDR (% = m3/m3),Wind speed (km/hr),Wind dir (deg true),Min air temp (C),Min soil temp 10cm (C),Min soil temp 20cm (C),Min soil temp 50cm (C),Min ground temp (C),Min rel humidity (%),Min soil moisture 10cm by TDR (% = m3/m3),Min soil moisture 20cm by TDR (% = m3/m3),Min soil moisture 50cm by TDR (% = m3/m3),Min wind speed (km/hr),Max Li190 PAR ( (umol/sec/m2)),Max Li200  radiation (W/m2),Max air temp (C),Max soil temp 10cm (C),Max soil temp 20cm (C),Max soil temp 50cm (C),Max ground temp (C),Max rel humidity (%),Max soil moisture 10cm by TDR (% = m3/m3),Max soil moisture 20cm by TDR (% = m3/m3),Max soil moisture 50cm by TDR (% = m3/m3),Max wind speed (km/hr),Windrun (km),Gust speed (km/hr),Gust dir (deg true),Mean wind speed (km/hr),Mean wind dir (deg true),Standard deviation wind dir (deg true),,,,,,,,,,,,,
Code,Year,Day,Time,PAR_uMol_AVG,LiCor200X_AVG,Air_Temp_AVG,Soil_T_1_AVG,Soil_T_2_AVG,Soil_T_3_AVG,Grd_Temp_AVG,RH_AVG,W_TDR__1_AVG,W_TDR__2_AVG,W_TDR__3_AVG,wind_spd_AVG,Wind_dir_AVG,Air_Temp_MIN,Soil_T_1_MIN,Soil_T_2_MIN,Soil_T_3_MIN,Grd_Temp_MIN,RH_MIN,W_TDR__1_MIN,W_TDR__2_MIN,W_TDR__3_MIN,wind_spd_MIN,PAR_uMol_MAX,LiCor200X_MAX,Air_Temp_MAX,Soil_T_1_MAX,Soil_T_2_MAX,Soil_T_3_MAX,Grd_Temp_MAX,RH_MAX,W_TDR__1_MAX,W_TDR__2_MAX,W_TDR__3_MAX,wind_spd_MAX,Tot_wrun,Gust_spd,Gust_dir,wind_spd_S_WVT,Wind_dir_D1_WVT,Wind_dir_SD1_WVT,,AIR_10_AV,RH_10_AV,WSP_10_AV,WD_10_AVG,rain_c_TOT,,,,,,,
